Simply Balanced Dried Montmorency Cherries 5oz,0.25cup,140,0g,34g,0g
Simply Balanced Organic Thompson Raisin 12 oz,0.25cup,120,0g,31g,1g
Simply Balanced Dried Mango Sweetened 7oz,0.25cup,130,0g,33g,0g
Simply Balanced Organic Thompson Raisins 6/1 6.498 oz,1box,90,0g,22g,1g
Simply Balanced Dried Blueberries 4 oz,0.25cup,140,0g,34g,1g
Simply Balanced Dried Pineapple Sweetened  6oz,0.25cup,140,0g,34g,0g
Market Pantry Yogurt Raisins 8 oz,0.25cup,120,4g,21g,1g
Ocean Spray Craisins Dried Cranberries 1 oz,1box,100,0g,23g,0g
Simply Balanced Dried Cantaloupe Sweetened 5 oz,0.25cup,140,0g,35g,0g
Simply Balanced Freeze Dried Strawberry Slices 1.0oz,1package,110,0g,24g,2g
Simply Balanced FD Cinnamon Apples 1.25 oz,1package,140,0g,34g,0g
Simply Balanced Freeze Dried Mango Slices 1.5 oz,1package,160,0g,40g,<1g
Made in Nature Dried Apricots,0.25cup,110,0g,25g,1g
Simply Balanced Organic Pure Maple Syrup 12oz,0.25cup,200,0g,53g,0g
Simply Balanced Organic Agave Nectar 12 oz,1tbsp,60,0g,16g,0g
Simply Balanced Organic Flax Seed 3.8 oz,1tsp,20,1g,1g,1g
Simply Balanced Organic Curry Powder 3 oz,0.5tsp,0,0g,1g,0g
Simply Balanced Organic Granulated Garlic 3.9oz,1tsp,15,0g,3g,1g
Simply Balanced Organic Coconut Palm Sugar 16oz,1tsp,15,0g,4g,0g
Simply Balanced Organic Brown Sugar 24oz,1tsp,15,0g,4g,0g
Simply Balanced Organic Olive Oil 16.9oz,1tbsp,120,14g,0g,0g
Simply Balanced Organic Flour 5lbs,0.25cup,110,0g,23g,3g
Simply Balanced Organic Honey 12 oz,1tbsp,60,0g,17g,0g
"Cary's Sugar-Free Maple-Flavored Syrup 24 oz",0.25cup,30,0g,12g,0g
Market Pantry Sugar Substitute with Aspartame 200 Count,1packet,0,0g,<1g,0g
Sugar In The Raw Natural Cane Turbinado Sugar 32 oz,1tsp,15,0g,4g,0g
Market Pantry Dark Brown Sugar 32 oz,1tsp,15,0g,4g,0g
Archer Farms Maple Flavored Sugar Blend 5.3 oz,0.50tsp,10,0g,2g,0g
Archer Farms Chai Flavored Sugar Blend 5.6 oz,0.50tsp,10,0g,2g,0g
